Tanggal,Komoditi,Harga Petani,Harga Pengecer,Tipe,Periode,tahun,Luas Panen,Produktivitas,Produksi,Hari,Bulan,Tahun,harga_petani_scaled,harga_pengecer_scaled,luas_panen_scaled,produktivitas_scaled,produksi_scaled,hari_sin,hari_cos,bulan_sin,bulan_cos,tahun_norm
2022-07-26,Beras Medium,8200.0,9000.0,Padi,Q2-2022,2022.0,12599.0,54.27975236000001,68387.06,26,7,2022,0.0030272722396809115,0.20831345515498256,0.18031580458481872,0.0,0.1735371405660902,-0.9749279121818242,-0.22252093395631184,-0.4999999999999997,-0.8660254037844388,0.0
2022-07-27,Beras Medium,8200.0,9000.0,Padi,Q2-2022,2022.0,12599.0,54.27975236000001,68387.06,27,7,2022,0.0030272722396809115,0.20831345515498256,0.18031580458481872,0.0,0.1735371405660902,-0.7818314824680304,0.6234898018587328,-0.4999999999999997,-0.8660254037844388,0.0
2022-07-28,Beras Medium,8200.0,9000.0,Padi,Q2-2022,2022.0,12599.0,54.27975236000001,68387.06,28,7,2022,0.0030272722396809115,0.20831345515498256,0.18031580458481872,0.0,0.1735371405660902,-9.797174393178826e-16,1.0,-0.4999999999999997,-0.8660254037844388,0.0
2022-07-29,Beras Medium,8200.0,9000.0,Padi,Q2-2022,2022.0,12599.0,54.27975236000001,68387.06,29,7,2022,0.0030272722396809115,0.20831345515498256,0.18031580458481872,0.0,0.1735371405660902,0.7818314824680291,0.6234898018587344,-0.4999999999999997,-0.8660254037844388,0.0
2022-07-30,Beras Medium,8200.09539218551,9000.165501557945,Padi,Q2-2022,2022.0,12599.0,54.27975236000001,68387.06,30,7,2022,0.0030845708562017293,0.20836586529761325,0.18031580458481872,0.0,0.1735371405660902,0.9749279121818246,-0.22252093395630992,-0.4999999999999997,-0.8660254037844388,0.0
2022-07-31,Beras Medium,8200.10589649832,9000.525083968349,Padi,Q2-2022,2022.0,12599.0,54.27975236000001,68387.06,31,7,2022,0.0030908804148754854,0.20847973592004454,0.18031580458481872,0.0,0.1735371405660902,0.4338837391175591,-0.9009688679024187,-0.4999999999999997,-0.8660254037844388,0.0
2022-08-01,Beras Medium,8200.0,9000.0,Padi,Q2-2022,2022.0,12599.0,54.27975236000001,68387.06,1,8,2022,0.0030272722396809115,0.20831345515498256,0.18031580458481872,0.0,0.1735371405660902,0.7818314824680298,0.6234898018587336,-0.8660254037844384,-0.5000000000000004,0.0
2022-08-02,Beras Medium,8200.0,9000.0,Padi,Q2-2022,2022.0,12599.0,54.27975236000001,68387.06,2,8,2022,0.0030272722396809115,0.20831345515498256,0.18031580458481872,0.0,0.1735371405660902,0.9749279121818236,-0.22252093395631434,-0.8660254037844384,-0.5000000000000004,0.0
2022-08-03,Beras Medium,8200.0,9000.0,Padi,Q2-2022,2022.0,12599.0,54.27975236000001,68387.06,3,8,2022,0.0030272722396809115,0.20831345515498256,0.18031580458481872,0.0,0.1735371405660902,0.43388373911755823,-0.900968867902419,-0.8660254037844384,-0.5000000000000004,0.0
2022-08-04,Beras Medium,8200.0,9000.0,Padi,Q2-2022,2022.0,12599.0,54.27975236000001,68387.06,4,8,2022,0.0030272722396809115,0.20831345515498256,0.18031580458481872,0.0,0.1735371405660902,-0.433883739117558,-0.9009688679024191,-0.8660254037844384,-0.5000000000000004,0.0
